C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456,BMT,01/12/2016,07:00:00,REGULAR,0004747103,0006548194                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/12/2016,11:00:00,REGULAR,0004747257,0006549201                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/12/2016,15:00:00,REGULAR,0004747431,0006549530                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/12/2016,19:00:00,REGULAR,0004748111,0006549967                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/12/2016,23:00:00,REGULAR,0004748413,0006550266                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/13/2016,03:00:00,REGULAR,0004748444,0006550288                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/13/2016,07:00:00,REGULAR,0004748455,0006550414                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/13/2016,11:00:00,REGULAR,0004748647,0006551403                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/13/2016,15:00:00,REGULAR,0004748720,0006551572                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/13/2016,19:00:00,REGULAR,0004748789,0006551662                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/13/2016,23:00:00,REGULAR,0004749090,0006551930                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/14/2016,03:00:00,REGULAR,0004749130,0006551962                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/14/2016,07:00:00,REGULAR,0004749139,0006552102                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/14/2016,11:00:00,REGULAR,0004749335,0006553098                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/14/2016,15:00:00,REGULAR,0004749536,0006553401                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/14/2016,19:00:00,REGULAR,0004750211,0006553850                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/14/2016,23:00:00,REGULAR,0004750528,0006554139                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/15/2016,03:00:00,REGULAR,0004750571,0006554175                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/15/2016,07:00:00,REGULAR,0004750586,0006554291                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/15/2016,11:00:00,REGULAR,0004750733,0006555239                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/15/2016,15:00:00,REGULAR,0004750966,0006555561                                             
